"","size1","dist","psi",".lower",".upper",".width",".point",".interval","psi_month","psi_month_low","psi_month_up"
"1",9.7,46.9,0.000292088458670167,0.00024576569059114,0.000341225205358125,0.68,"mean","qi",0.0344484002388222,0.0290647604530101,0.0401267287137581
"2",9.7,46.9,0.000292088458670167,0.00022006392386167,0.000384293767878641,0.9,"mean","qi",0.0344484002388222,0.0260648678352287,0.0450765657906131
"3",9.7,46.9,0.000292088458670167,0.000210117027693706,0.000392512089649153,0.95,"mean","qi",0.0344484002388222,0.0249014075589709,0.046018211293226
"4",9.7,72.7,1.67570377356573e-05,1.24844330327525e-05,2.1332724934897e-05,0.68,"mean","qi",0.00200884094911802,0.00149701966216687,0.00255668040894375
"5",9.7,72.7,1.67570377356573e-05,1.04926002299851e-05,2.61236232457238e-05,0.9,"mean","qi",0.00200884094911802,0.00125832627605216,0.00312996714449398
"6",9.7,72.7,1.67570377356573e-05,9.5424980556483e-06,2.76082162353699e-05,0.95,"mean","qi",0.00200884094911802,0.00114444984745643,0.00330754964816193
"7",9.7,21.1,0.00513241908701169,0.00477636239393413,0.00550157152911376,0.68,"mean","qi",0.460696195827476,0.437034358286754,0.484187168607323
"8",9.7,21.1,0.00513241908701169,0.00457331521930898,0.00575199143109837,0.9,"mean","qi",0.460696195827476,0.423082831529014,0.499542070812393
"9",9.7,21.1,0.00513241908701169,0.00449117077823051,0.00584720399222858,0.95,"mean","qi",0.460696195827476,0.417341697271005,0.50526049059786
