"","Variable","Mean","Lower","Upper"
"1","b.age",0.44173139146822,0.194582367298323,0.719296330674325
"2","b.dist",-0.111726671640319,-0.118844297169226,-0.104515899155119
"3","b.sex",0.607993342843729,0.39991568904072,0.812823519379801
"4","b.size1",0.0197722232021417,0.00853568923759282,0.0321629848021578
"5","b.size2",0.0332713569499019,0.0212925407297945,0.0453192248370617
"6","b0",-4.4762362488029,-4.87592957917456,-4.17544074784659
